Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C9",0402,2,1 nF,
"C10, C12, C2, C4",0402,4,100 nF,
"C11, C21, C3, C44",0805,4,2.2 uF,
"C13, C28, C29, C5",0402,4,4.7 nF,
"C14, C15, C6, C7",0402,4,68 pF,
"C16, C8",0402,2,100 pF,
"C17, C18",0402,2,6 pF,
"C19, C20",0402,2,18 pF,
"C22, C23, C24, C25, C30, C31, C32, C43",0402,8,0.1 uF,
C26,0402,1,1.0 uF,
C27,0805,1,4.7 uF,
"C34, C35, C36, C50, C52, C56, C58",0805,7,100nF,C49678
C37,0805,1,47pF,C14857
C38,0805,1,22pF,C1804
"C39, C40, C42, C53, C54, C55, C59, C60, C61",1210,9,22uF,C12891
C41,0805,1,10 uF,C14857
"C51, C57",0805,2,22nF,C1729
"D1, D2, D3, D4",SOD2512X110N,4,"PESD5V0V1BA,115",
"D10, D11, D13, D14, D15, D16, D17, D5, D8, D9",XL-1010RGBC-WS2812B,10,~,
D12,0603,1,LED,
"D23, D24",D_SMA,2,SS15,
"D6, D7",SOT-23_ONS,2,SZNUP2105LT1G,
"IC1, IC2",SOIC127P600X175-16N,2,MC33664ATL1EG,
"IC4, IC5",SOP65P640X120-17N,2,DRV8874QPWPRQ1,C1855818
J3,ST-Link MINIV3 BTB,1,Conn_01x10_Pin,
J4,DTM1312PA12PBR008,1,DTM1312PA12PBR008,
L1,L_6.3x6.3_H3,1,10uH,C408412
"R1, R10, R11, R12, R13, R14, R2, R3, R4, R5, R6, R9",0402,12,10K,
"R15, R16, R7, R8",0603,4,75 R,
R17,0603,1,10k,
R18,0402,1,15k,
R19,0402,1,3.3k,
"R24, R25, R26, R27",0603,4,60R .25W,
"R30, R36",0805,2,560,C28636
"R31, R37",0805,2,2k7,C17530
R32,0603,1,680R,
R33,0805,1,22k,C17560
R51,0805,1,100k,C149504
R52,0805,1,33k,C17633
"T1, T2",SOP254P940X572-6N,2,HM2103NLT,
"U1, U4",SMA_UNI_STM,2,SMAJ16A-TR,C908770
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,SOT-23-6,1,TPS54302,C311983
U9,LQFP-100_14x14mm_P0.5mm,1,STM32F413VHTx,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,
Y2,Crystal_SMD_HC49-SD,1,8MHz,
