Designator,Mid X,Mid Y,Rotation,Layer
C1,198.374,-61.313,90.0,top
C10,199.644,-72.743,90.0,top
C11,200.025,-64.836,270.0,top
C12,198.247,-64.925,270.0,top
C13,203.609,-75.819,0.0,top
C14,204.597,-66.901,90.0,top
C15,204.597,-72.87,270.0,top
C16,206.925,-69.85,180.0,top
C17,162.1028,-62.8142,180.0,top
C18,162.1054,-57.0484,180.0,top
C19,154.1272,-61.5696,180.0,top
C2,199.517,-61.313,90.0,top
C20,151.928,-61.58,0.0,top
C21,157.94,-82.22,270.0,top
C22,160.353,-79.967,90.0,top
C23,162.512,-65.489,90.0,top
C24,144.732,-79.205,90.0,top
C25,156.896,-61.707,180.0,top
C26,145.494,-62.06,90.0,top
C27,143.668,-61.991,90.0,top
C28,208.28,-118.0592,180.0,top
C29,210.2866,-129.0066,180.0,top
C3,200.279,-52.07,90.0,top
C30,143.335,-65.926,270.0,top
C31,199.009,-125.7932,270.0,top
C32,197.5866,-116.5098,90.0,top
C34,182.2704,-83.9763,90.0,top
C35,170.2816,-86.233,90.0,top
C36,192.8915,-86.233,180.0,top
C37,193.04,-93.0285,270.0,top
C38,190.5,-93.0109,270.0,top
C39,182.9685,-94.023,0.0,top
C4,198.374,-52.479,90.0,top
C40,182.9685,-97.96,0.0,top
C41,196.723,-82.9525,90.0,top
C42,166.8272,-86.741,90.0,top
C43,148.895,-61.834,180.0,top
C44,141.491,-76.217,180.0,top
C5,204.3938,-56.0832,0.0,top
C50,176.97,-109.2325,270.0,top
C51,173.287,-104.1525,270.0,top
C52,173.3632,-108.5975,270.0,top
C53,187.9428,-109.1393,90.0,top
C54,180.2638,-109.1061,90.0,top
C55,184.1074,-109.1139,90.0,top
C56,176.97,-118.0932,90.0,top
C57,173.5918,-116.2683,270.0,top
C58,173.6172,-120.5785,270.0,top
C59,188.1116,-117.5221,270.0,top
C6,204.724,-53.058,90.0,top
C60,184.209,-117.5344,270.0,top
C61,180.3482,-117.509,270.0,top
C7,204.47,-59.182,270.0,top
C8,206.756,-56.007,180.0,top
C9,198.374,-72.743,90.0,top
D1,206.629,-52.317,90.0,top
D10,134.5184,-77.1398,180.0,top
D11,134.5748,-83.4446,180.0,top
D12,189.23,-78.2575,270.0,top
D13,134.5748,-99.8276,180.0,top
D14,134.6002,-106.457,180.0,top
D15,134.6312,-111.6188,180.0,top
D16,134.6312,-118.1466,180.0,top
D17,134.682,-123.6838,180.0,top
D2,206.502,-59.81,270.0,top
D23,207.042,-81.28,0.0,top
D24,210.3374,-94.9386,270.0,top
D3,206.629,-66.167,90.0,top
D4,206.572,-73.526,270.0,top
D5,134.5128,-57.7144,180.0,top
D6,216.5096,-113.9698,90.0,top
D7,215.8492,-125.8443,90.0,top
D8,134.5128,-64.293,180.0,top
D9,134.5184,-70.8406,180.0,top
IC1,193.757,-57.404,0.0,top
IC2,193.847,-68.834,0.0,top
IC4,166.7338,-107.1829,0.0,top
IC5,166.5136,-118.133,0.0,top
J3,130.8,-91.35,90.0,top
J4,225.125,-90.475,270.0,top
L1,198.374,-91.185,270.0,top
R1,188.6712,-62.0268,0.0,top
R10,188.5924,-68.0974,180.0,top
R11,188.6204,-70.7898,0.0,top
R12,188.5924,-69.5198,180.0,top
R13,188.6458,-73.8124,0.0,top
R14,188.6458,-72.2884,180.0,top
R15,203.073,-66.688,90.0,top
R16,203.073,-73.266,270.0,top
R17,141.0,-97.95,90.0,top
R18,215.138,-62.9412,180.0,top
R19,212.979,-63.5762,270.0,top
R2,188.722,-56.3118,180.0,top
R24,214.376,-110.8964,180.0,top
R25,215.0872,-118.0084,0.0,top
R26,212.3186,-123.127,90.0,top
R27,212.3948,-128.1176,90.0,top
R3,188.75,-54.229,0.0,top
R30,159.1056,-106.5108,90.0,top
R31,159.1056,-110.762,270.0,top
R32,187.198,-78.232,270.0,top
R33,187.325,-88.689,270.0,top
R36,159.2072,-116.8392,90.0,top
R37,159.2326,-121.176,270.0,top
R4,188.722,-57.7596,180.0,top
R5,188.722,-59.3344,0.0,top
R51,188.087,-92.991,90.0,top
R52,184.912,-88.705,270.0,top
R6,188.694,-60.579,180.0,top
R7,202.3364,-52.8444,90.0,top
R8,202.1332,-59.423,270.0,top
R9,188.595,-65.659,0.0,top
T1,213.487,-56.007,0.0,top
T2,213.684,-69.85,0.0,top
U1,207.0354,-85.598,0.0,top
U2,202.3506,-116.3574,270.0,top
U3,203.8624,-125.6688,270.0,top
U4,215.1126,-94.7293,270.0,top
U5,176.3268,-85.2303,0.0,top
U7,192.9185,-82.87,0.0,top
U9,152.932,-71.192,180.0,top
Y1,161.623,-59.949,90.0,top
Y2,152.606,-57.897,0.0,top
